turkish;russian;turkish hint;russian hint
aynı;одинаковый/тот же/такой же;;
dilek;желание;;
geçen hafta;прошлая неделя;;
geçen sene;прошлый год;;
hayvan;животное;;
hayvanat bahçesi;зоопарк;;
her biri;каждый/каждый из;;
hoşlanmak/beğenmek/sevmek;симпатизировать/любить/нравиться;;
meslek;профессия/ремесло/специальность;;
seçmek;выбирать;;
sipariş;заказ;;
son;последний;;
tarçın;корица;;
yazılımcı;программист;;
şöyle böyle;так себе;;
