turkish;russian;turkish hint;russian hint
hangi;который/какой;;
kaç tane;сколько/сколько штук/какое количество;;
kaçta;в какое время;;
kim;кто;;
nasıl;как/какой;;
ne;что;;
ne kadar;сколько/как много;;неисчисляемое
ne oluyor;что происходит;;
ne zaman;в какое время;;
nerede;где;;
nereli;откуда;;родом
nereye;куда;;
neyin var;что случилось;;
niçin/niye/neden;почему/зачем/для чего;;
saat kaç;который час;;
